text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
"And then, too, he went on in a vaudeville sketch and found time to sign a movie contract with a firm that was preparin' to screen his big act, "" True To Life. """,transitive,transitive,causative,causative,animate,animate,agent,agent,a firm,screen,"his big act, ""True To Life"""
""" Never mind. When it seems that the time is ripe to screen a story about a pretty, plump girl, you shall have an important part in the production, "" promised Ruth.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,screen,"a story about a pretty, plump girl"
"Thus, the popular novel of Helen Hunt Jackson as screened by United Artists. Dolores Del Rio, always throbbing, is at her best.",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,United Artists,screened,the popular novel of Helen Hunt Jackson
"Most Broadway actors screen well, and their voices are pretty generally [...]",intransitive,intransitive,causative,anticausative,animate,animate,patient,agent,Most Broadway actors,screen,
"A few years ago the situation was different, though hard even then, but a fairly well-mannered girl with good looks, an agreeable personality, and a fair amount of native intelligence, who screened well, stood a chance. ",intransitive,intransitive,causative,anticausative,animate,animate,patient,patient,"a fairly well-mannered girl with good looks, an agreeable personality, and a fair amount of native intelligence",screened,
"Moving pictures, screened in the open, attract crowds on summer nights, and by this method the telephone company is teaching the masses how to use the automatic telephone.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Moving pictures,screened,
"At Helsinki last week loyal Finns crowded into movies to cheer wildly while a picture of the life of their masterful, benevolent President, Pehr Evind Svinhufvud was screened in celebration of his 75th birthday.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"a picture of the life of their masterful, benevolent President, Pehr Evind Svinhufvud",screened,
"The fact that he thinks his nation unworthy of self-government is, of course, an implied charge, but as long as he screens his real opinion the dictator-worshipers will abide in their faith in him.",transitive,transitive,causative,causative,animate,animate,agent,agent,he,screens,his real opinion
"' Why, you old dog!' laughed Albert. She never told me that!' It wasn't the kind of joke that Ed Brown found amusing. He merely said, not smiling, I hope she screens.'",intransitive,intransitive,causative,anticausative,animate,animate,patient,agent,she,screens,
"He might screen well in a Spencer Tracy role, but there is absolutely no Tyrone Power or Robert Taylor about him.",intransitive,intransitive,causative,anticausative,animate,animate,patient,agent,He,screen,
"Arthur Lubin made it a point of honour not to screen the silent film, and he never saw the Lon Chaney picture.",transitive,transitive,causative,causative,animate,animate,agent,agent,Arthur Lubin,screen,the silent film
Art director Alex Golitzen did screen the Chaney film several times during preproduction.,transitive,transitive,causative,causative,animate,animate,agent,agent,Art director Alex Golitzen,screen,the Chaney film
"To screen George Bernard Shaw's 47-year-old play, Rank gave Producer Gabriel ("" Gabby "") Pascal a free hand and an open purse.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,Rank,screen,George Bernard Shaw's 47-year-old play
"Laurence Olivier, currently screening Hamlet, was right in there with Sir Henry Irving: for his services to Britain's stage screen, he was made a knight * by George VI.",transitive,transitive,causative,causative,animate,animate,agent,agent,Laurence Olivier,screening,Hamlet
"Of course, they'll screen some terrible reels, but they'll also uncover some Prizes.",transitive,transitive,causative,causative,animate,animate,agent,agent,they,screen,some terrible reels
Fitch was screening one of the next week's golks. They flopped on the floor and watched it mutely.,transitive,transitive,causative,causative,animate,animate,agent,agent,Fitch,screening,one of the next week's golks
