text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
"Daniel has interned for the Globe Post in Washington, D.C., and worked as a reporter and panelist for the Lens Collective researching, filming and editing short films on civil rights activists.",transitive,transitive,causative,causative,animate,animate,agent,agent,Daniel,filming,short films
"Key to the company's success has been Daniel, who aired his business philosophy in a 2016 video filmed for the online outdoors network Carbon TV.",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,Daniel,filmed,a 2016 video
"The family started filming the Discovery + show in January 2021, but David Sr., 86, was not part of the first four episodes because he spent six months in the hospital after hurting his back while four-wheeling with his sons.",transitive,transitive,causative,causative,animate,animate,agent,agent,The family,filming,the Discovery + show
"David Letterman with the President of Ukraine Volodymyr Zelenskyy in a special episode of "" My Next Guest Needs No Introduction "" filmed in a Kyiv subway station.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"a special episode of ""My Next Guest Needs No Introduction""",filmed,
Leonel Alvarado filmed footage showing his journey through smoke-filled Louisville on Thursday.,transitive,transitive,causative,causative,animate,animate,agent,agent,Leonel Alvarado,filmed,footage
"The "" Better "" digital ad was filmed in a local high school in Zaila's home state of Louisiana, and in it we see Avant-garde committed to working through difficulties and setbacks, ultimately reaching her goals.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"The ""Better"" digital ad",filmed,
"(The sequences on Aldhani, for instance, were filmed in the Scottish Highlands.) ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The sequences on Aldhani,filmed,
A screen grab from the contraband video Eric Adams filmed while he was a state senator.,transitive,transitive,causative,causative,animate,animate,agent,agent,Eric Adams,filmed,the contraband video
"In answering that question, Scorsese decided to never leave the ring when filming the fight scenes, leaving LaMotta's experience to become the viewer's sensibility.",transitive,intransitive,causative,anticausative,animate,inanimate,agent,patient,the fight scenes,filming,
"Variety has confirmed that on Wednesday night the two cars broke through the barricades while the show, titled "" Justified: City Primeval, "" was filming in Chicago near Douglass Park.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,"the show, titled ""Justified: City Primeval,""",filming,
Prince William has become embroiled in a new privacy row after a video of him shouting angrily at a paparazzi photographer who was filming his family while on a bike ride went viral Monday.,transitive,transitive,causative,causative,animate,animate,agent,agent,a paparazzi photographer,filming,his family
"The Last of Us HBO TV show is still filming, which means set photos continue to leak online.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,The Last of Us HBO TV show,filming,
"What was great was when the Sicilians came to set, and we were filming the parts that had to do with Sicilian food.",transitive,transitive,causative,causative,animate,animate,agent,agent,we,filming,the parts that had to do with Sicilian food
"Lovato had claimed she wasn't sleeping while filming "" Sonny With a Chance "" and that her schedule made her "" angry.",transitive,transitive,causative,causative,animate,animate,agent,agent,Lovato,filming,"""Sonny With a Chance"""
"In a five-minute-long video posted to her new Instagram account, Williams is shown walking along a Florida beach while speaking to her son Kevin Hunter Jr., who filmed the footage.",transitive,transitive,causative,causative,animate,animate,agent,agent,Kevin Hunter Jr.,filmed,the footage
"We went to Boston originally, which was great since I've filmed there with David several times and know all the places that can pass for New York period.",intransitive,transitive,causative,causative,animate,animate,agent,agent,I,filmed,there
The Season 7 premier of the primetime game show was filmed in Los Angeles in May 2021.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The Season 7 premier of the primetime game show,filmed,
"Not only did the feature-length special mark what would become her final interview, but producer Steve Boettcher revealed that she also filmed a video tribute to her fans just ten days before her death that will accompany the special.",transitive,transitive,causative,causative,animate,animate,agent,agent,she,filmed,a video tribute to her fans
"In 2019 and 2021 each, 22 productions filmed in Malta, the majority international.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,agent,22 productions,filmed,
"But Ryan Reynolds and Rob McElhenney -- actors, besties and co-owners of a Welsh soccer club -- might've taken it a notch further by recently filming much of their colonoscopies and anesthesia-infused recoveries to shed light on colorectal cancer screenings.",transitive,transitive,causative,causative,animate,animate,agent,agent,Ryan Reynolds and Rob McElhenney,filming,much of their colonoscopies and anesthesia-infused recoveries
"The "" Bad "" singer first became hooked on painkillers after he suffered both second- and third-degree burns to his scalp during a pyrotechnic disaster while filming a Pepsi commercial in 1984.",transitive,intransitive,causative,anticausative,animate,animate,agent,patient,he,filming,
"The A-team did a yeoman's job! "" The person filming, Drescher's ex-husband Peter Marc Jacobson, who was also her date, had to pause the video when her dog started to gnaw on her dress.",intransitive,intransitive,causative,anticausative,animate,animate,agent,agent,Drescher's ex-husband Peter Marc Jacobson,filming,
