text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Over MBS it will continue to be aired from the Cook County Marriage License Bureau.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,aired,
One other consideration dampened Congressional ardor for legislation like the Celler Bill. N. A. B.'s President Mark Foster Ethridge acutely observed that the State Department would find it easier to explain embarrassing statements on international broadcasts if private broadcasters made them than if they were aired over a Government-owned- &-operated station.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,they,aired,
"In the course of its existence, the Radio Theatre has aired 272 different shows, ranging from Peg O' My Heart to the Life of Louis Pasteur.",transitive,transitive,causative,causative,animate,animate,agent,agent,the Radio Theatre,aired,272 different shows
"Last week for the first time in six months CBS's short-wave listening post picked up a newscast aired by the celebrated German Freiheitsender-the secret "" Freedom Station "" the Nazis have repeatedly tried to suppress.",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,a newscast,aired,"by the celebrated German Freiheitsender-the secret "" Freedom Station """
"Designed to tell inside stories about programs and radio personalities, Behind the Mike is now aired over 85 stations and short-waved to Canada and South America.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Behind the Mike,aired,
"He enlisted the aid of President Jardine, of the college, who, in turn, persuaded Brinkley to air the program.",transitive,transitive,causative,causative,animate,animate,agent,agent,Brinkley,air,the program
"Carter was broadcasting under the sponsorship of Philco at the time of the Army-Navy run-in, but Carter's constant antilabor stands in his broadcasts soon brought the picket line to stations airing his talks, the boycott to Philco products.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,stations,airing,his talks
"(The Army during this war has been.eating seven times too much, and the present writers remain unconvinced that Quartermaster General Gregory was acting in line of duty when he appeared with Eleanor Roosevelt in one of the sweetest broadcasts ever aired, sponsored by the National Confectioners' Association.)",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,broadcasts,aired,
"Sponsored by the Greater Boston Community Fund, the program is aired at a time usually devoted to children's shows (5:30 p.m. E.D.S.T.).",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the program,aired,
The BBC also airs a weekly 15-minute political commentary (called American Commentary)... ,transitive,transitive,causative,causative,animate,animate,agent,agent,The BBC,airs,a weekly 15-minute political commentary
ABC also aired an on-the-spot pickup late in the day.,transitive,transitive,causative,causative,animate,animate,agent,agent,ABC,aired,an on-the-spot pickup
"Lately, on his radio program called Guest Conductor, Critic Hume has been airing the favorite melodies of the 1960 candidates. ",transitive,transitive,causative,causative,animate,animate,agent,agent,Critic Hume,airing,the favorite melodies of the 1960 candidates
"For example, the NAB statement at the time hinted that "" The Benefactors "" a program on "" The Defenders "" which dealt with illegal abortion should not be aired at a peak evening hour.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The Benefactors,aired,
"What they have found is a spate of new songs dealing with all kinds of taboo topics, many of which, veiled in hip teen talk or garbled in the din of guitars, are being regularly aired over the radio.",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,many of which,aired,over the radio
"Last week, for instance, taping the final effort of the season (to be aired April 21), Dean gunned his Dual Ghia into the parking lot of NBC studios in Burbank at noon.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the final effort of the season,aired,
"Equally hard to come by are the scores of games being aired at the same time on another network; the fear is that the rival might have a game more worth watching, and that the viewer, God forbid, would flip the dial.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,scores of games,aired,
"Then, as turmoil mounted, TV newsmen prepared a two-hour report on undergraduate unrest, but minutes before it was to be aired, the government suppressed it.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,aired,
"NBC airs its special from 11 p.m. to 1 a.m., ABC and CBS from 11:30 p.m. to midnight.",transitive,transitive,causative,causative,animate,animate,agent,agent,NBC,airs,its special
"The instructions were resisted by the NBC News Department, whose President, the late William R. McAndrew, thought the program was strong and should be aired as it was.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the program,aired,
"Meanwhile the best broadcasts often attach to those sports that are not aired often enough to sprout their own clich? s, or which, like hockey and basketball, move too fast for the announcer's small talk to wedge in. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,those sports,aired,
"That $2 million, four-hour TV blockbuster on Africa, aired in September, 1967, may soom have a sequel. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"That $2 million, four-hour TV blockbuster on Africa",aired,
