Token,Transitivity,gpt_transitivity,gpt_subject,gpt_verb,gpt_object
Elizabeth has been uploading one throwback bikini post a day since Jan.,Transitive,1,Elizabeth,has been uploading,one throwback bikini post a day
"For about a year now, Herrod has been uploading videos about the pandemic and American politics.",Transitive,1,Herrod,has been uploading,videos about the pandemic and American politics
Other opportunists have uploaded their own war forgeries to TikTok.,Transitive,1,Other opportunists,have uploaded,their own war forgeries to TikTok
Sometimes people will upload a game before it's taken down after a year or so.,Transitive,1,people,upload,a game
"However, it will upload each clip in its entirety.",Transitive,1,it,will upload,each clip
Neil Patrick Harris is uploading himself to The Matrix 4.,Transitive,1,Neil Patrick Harris,is uploading,himself to The Matrix 4
Android 12 will let users play games as they're downloading.,Intransitive,1,Android 12,will let,users play games
There's also a new feature that will let you use apps while they're downloading.,Intransitive,1,a new feature,will let,you use apps
Click Next and Windows 10 will install.,Intransitive,1,Windows 10,will install,
"If your Kindle is connected to Wi-Fi, the update will install automatically, but you can manually download it here.",Intransitive,1,you,can manually download,it
The feature had installed itself automatically on the PS3.,Transitive,1,The feature,had installed,itself
"The first two are available right now, while WH is shipping at some point in August.",Intransitive,1,WH,is shipping,at some point in August
This unit is shipping to an existing customer for a new application that is expected to outgrow the WFE market over the next several years.,Intransitive,1,This unit,is shipping,to an existing customer
Hyperion 8 is shipping in 2024 and Hyperion 9 will ship in 2026.,Intransitive,0,"Hyperion 8, Hyperion 9","is shipping, will ship",
"The company has confirmed that one Arc Alchemist laptop is shipping in South Korea, but even though it's been a while, these laptops haven't become widespread.",Intransitive,1,The company,has confirmed,that one Arc Alchemist laptop is shipping in South Korea
"Under the hood, Ubuntu 22.10 is shipping with the new 5.19 Linux kernel.",Intransitive,1,Ubuntu 22.10,is shipping,the new 5.19 Linux kernel
"That is, you'll be offered the Creators Update through Windows Update sometime after the release goes public, when you accept the offer, the update will download itself and get installed on your PC(s).",Transitive,1,you,accept,the offer
"But since then, I've been uploading pretty steadily onto like every internet platform.",Intransitive,1,I,have been uploading,pretty steadily onto like every internet platform
What was amazing to me was that librarians created a Google Doc requesting people to upload copies of materials they had used in the Jagger Library to create a digital repository and people have been uploading from around the world.,Intransitive,1,librarians,created,a Google Doc
"We both got into NYU, and literally that first week of school, we got the microphone and shot that first video and have been uploading ever since.",Intransitive,1,we,got,the microphone
"In the year that Anthony has been uploading to Citizen, he's filmed hundreds of these videos: 675 to be exact.",Intransitive,1,Anthony,has been uploading,to Citizen
"After taking a much-needed break over the summer given that she'd been uploading on YouTube for roughly 11 years without pause, Nilsen says she wanted to try her hand at something that she's never done before, and will be crafting all of the candles by hand.",Intransitive,1,Nilsen,be crafting,all of the candles
One of the many ambiguities about P2P is that users are uploading as well.,Intransitive,1,users,are uploading,as well
"According to McMahon, 95% of the public pathology labs in the country are uploading into the My Health Record, which she said was another threefold increase over the last year for tests being uploaded.",Intransitive,1,95% of the public pathology labs in the country,are uploading,into the My Health Record
