text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Android 12 will let users play games as they're downloading.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Android 12,will let,users play games as they're downloading
There's also a new feature that will let you use apps while they're downloading.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,a new feature,let,you use apps while they're downloading
Click Next and Windows 10 will install.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Windows 10,install,
"If your Kindle is connected to Wi-Fi, the update will install automatically, but you can manually download it here.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,update,install,it
"The first two are available right now, while WH is shipping at some point in August.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,WH,shipping,
This unit is shipping to an existing customer for a new application that is expected to outgrow the WFE market over the next several years.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,This unit,is shipping,to an existing customer for a new application that is expected to outgrow the WFE market over the next several years.
Hyperion 8 is shipping in 2024 and Hyperion 9 will ship in 2026.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,Hyperion 8,is shipping,
"The company has confirmed that one Arc Alchemist laptop is shipping in South Korea, but even though it's been a while, these laptops haven't become widespread.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The company,has confirmed,that one Arc Alchemist laptop is shipping in South Korea
"Under the hood, Ubuntu 22.10 is shipping with the new 5.19 Linux kernel.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,Ubuntu 22.10,is shipping,with the new 5.19 Linux kernel
"An hour and a quarter later, the pigeons had reached their destination in Skegness 120km away, while only 24% of a 300MB file had uploaded.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,24% of a 300MB file,uploaded,
"It's centuries into the future, self-aware technology has formed a "" singularity "" -- a floating superbrain cloud in the upper atmosphere -- and his parents have already uploaded to it, leaving their bodies behind.",intransitive,intransitive,anticausative,anticausative,animate,inanimate,patient,patient,self-aware technology,has formed,"a ""singularity"""
"It was revealed that she'd actually uploaded -- potentially meaning that she had ended her own life in order to come join Nathan, who had just broken up with her a few days before.",intransitive,transitive,anticausative,causative,animate,animate,patient,agent,she,revealed,"that she'd actually uploaded -- potentially meaning that she had ended her own life in order to come join Nathan, who had just broken up with her a few days before"
"By providing easy access to the vast archive (130,000 photos have already uploaded just to break the electronic ground) Holocaust deniers will be easily be exposed as flat-earthers and disturbed conspiracy theorists.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,By providing easy access to the vast archive,will be easily be exposed,Holocaust deniers
It appears that only new photos will upload at this point.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,It,appears,that only new photos will upload at this point
Your activities from HR2VP will upload to Strava in an instant.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Your activities from HR2VP,upload,to Strava
Simply drag the picture onto the email from your files and it will upload and appear at the top.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,you,drag,the picture onto the email from your files
"When you've selected the image you want, it will upload to the site and appear below the reply/text box that you are creating and give you 2 choices: ",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,it,will upload,to the site and appear below the reply/text box
"If you want to spend your Saturday watching the entire run, the VODs will upload later to GDQ's YouTube channel, or you can jump to the 12:51:00 mark in this Twitch archive.",intransitive,transitive,anticausative,causative,inanimate,animate,patient,agent,you,want,to spend your Saturday watching the entire run
"YouTube's Content ID checks for copyrighted material as it's uploading, and analyzes the video's content, description, and metadata for "" Ad Suitability "" issues.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,YouTube's Content ID,checks,for copyrighted material
"The Lightning is shipping to customers now with a starting price of $39,974 before any options and fees.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,The Lightning,is shipping,"to customers now with a starting price of $39,974 before any options and fees."
OnePlus' budget phone is shipping with Android 11.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,OnePlus' budget phone,is shipping,with Android 11
Summer Is Tomorrow is shipping in from Dubai after finishing second in the Grade II UAE Derby.,intransitive,intransitive,anticausative,causative,animate,inanimate,patient,patient,Summer Is Tomorrow,is shipping,in from Dubai after finishing second in the Grade II UAE Derby
"The company is also rolling out hot-updates, so you can keep using an app even while an update for the very same app is downloading and installing in the background.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The company,is rolling out,hot-updates
"The company is also rolling out hot-updates, so you can keep using an app even while an update for the very same app is downloading and installing in the background.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The company,is rolling out,hot-updates
"While this is downloading and installing, you'll be able to use the new Xbox app to start tinkering with the settings.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,patient,this,downloading and installing,
"While this is downloading and installing, you'll be able to use the new Xbox app to start tinkering with the settings.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,patient,this,downloading and installing,
Click this and then unzip the file when it has downloaded.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,you,unzip,the file
"Once the application has downloaded, run it. ",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,application,run,it
"When the file has downloaded, install it and choose' Join' from the initial screen.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,file,downloaded,it
"If the apps haven't downloaded yet, they show up as a gray icon in a circle.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,they,show up,as a gray icon in a circle
You'll be prompted and Windows 11 will download to it.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Windows 11,download,it
"Once that's done, Steam will download to your machine, at which point you can login and start downloading games.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Steam,download,to your machine
"The update will download, and your iPhone will automatically restart once it's ready.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,update,download,it
"Changes to the name and logo will come via title updates that will download automatically,  the EA rep explained to Kotaku.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Changes to the name and logo,will come,via title updates
This report will download for your use.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,This report,will download,for your use
The game downloaded and installed in 50 seconds the first time and in 55 seconds on the second installation.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The game,downloaded and installed,
The game downloaded and installed in 50 seconds the first time and in 55 seconds on the second installation.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The game,downloaded and installed,
"As the games downloaded and appeared on my dashboard, I'd pop into them to see what was what.",intransitive,transitive,anticausative,causative,inanimate,animate,patient,agent,I,pop,into them
A 2.9GB game downloaded in less than a minute.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,patient,A 2.9GB game,downloaded,in less than a minute
The FX20 is expected to be shipping worldwide in the first half of 2022.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,The FX20,is expected,to be shipping worldwide in the first half of 2022
"Of course, this version won't be shipping with Flash Player.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,this version,shipping,with Flash Player
It will be shipping to customers from September 15.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,patient,It,will be shipping,to customers from September 15
The Nano-C98 will be shipping in November at $245 US.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,patient,The Nano-C98,will be shipping,in November at $245 US
"They'll be shipping in the next two to three weeks, so get your tickets now.",intransitive,transitive,anticausative,causative,inanimate,animate,patient,agent,They,shipping,in the next two to three weeks
The game will install onto the PS5's hard drive and you'll be able to play it as long as the disc is in the system.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The game,install,onto the PS5's hard drive
Code Blocks will install and is ready to be used.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Code Blocks,install,and is ready to be used
"What there is, is a BazarLoader executable file that will install instead.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,patient,What there is,is,a BazarLoader executable file that will install instead
Completed rides will automatically upload to all authorized third party accounts.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Completed rides,upload,to all authorized third party accounts
The data will automatically download in the background while you play World of Warcraft or while you have the Launcher window open.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The data,download,automatically
The new content will automatically download when you log-in to play the game.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The new content,will automatically download,when you log-in to play the game
"But since then, I've been uploading pretty steadily onto like every internet platform.",intransitive,transitive,causative,causative,animate,animate,agent,agent,I,uploading,pretty steadily onto like every internet platform
What was amazing to me was that librarians created a Google Doc requesting people to upload copies of materials they had used in the Jagger Library to create a digital repository and people have been uploading from around the world.,intransitive,transitive,causative,causative,animate,animate,agent,agent,librarians,created,a Google Doc requesting people to upload copies of materials they had used in the Jagger Library to create a digital repository
"We both got into NYU, and literally that first week of school, we got the microphone and shot that first video and have been uploading ever since.",intransitive,transitive,causative,causative,animate,animate,agent,agent,we,got,into NYU
"In the year that Anthony has been uploading to Citizen, he's filmed hundreds of these videos: 675 to be exact.",intransitive,transitive,causative,causative,animate,animate,agent,agent,Anthony,filmed,hundreds of these videos
"After taking a much-needed break over the summer given that she'd been uploading on YouTube for roughly 11 years without pause, Nilsen says she wanted to try her hand at something that she's never done before, and will be crafting all of the candles by hand.",intransitive,transitive,causative,causative,animate,animate,agent,agent,Nilsen,says,
One of the many ambiguities about P2P is that users are uploading as well.,intransitive,transitive,causative,causative,animate,animate,agent,agent,users,uploading,N/A
"According to McMahon, 95% of the public pathology labs in the country are uploading into the My Health Record, which she said was another threefold increase over the last year for tests being uploaded.",intransitive,transitive,causative,causative,inanimate,inanimate,agent,agent,McMahon,said,"that 95% of the public pathology labs in the country are uploading into the My Health Record, which she said was another threefold increase over the last year for tests being uploaded."
"GoPro is uploading more often to its main YouTube channel, now with more than 2.2 million subscribers.",intransitive,transitive,causative,causative,inanimate,inanimate,agent,agent,GoPro,uploading,more often to its main YouTube channel
But you co-own it with whatever platform you're uploading into.,intransitive,transitive,causative,causative,animate,animate,agent,agent,you,co-own,it with whatever platform you're uploading into
